sentiment,label,content
love,1,@thomasfiss @drewryanscott i jus listened 2 'not okay' it's nice i lik it.. I've been thinkin abt thomas throughout e whole song..  luv ya
hate,-1,@GGSerena boo you didnt answer my text
hate,-1,Ugh! I have to beat this stupid song to get to the next  rude!
love,1,Happy Friday. Just pulled some yummy radishes out of the garden. Hope the strawberries turn out. Still no blooms.
sadness,-1,@Saresa And I feel your pain.
hate,-1,The storm is here and the electricity is gone
love,1,@tgrburningbrite SO addicted to colourlovers  Such a time sink!
love,1,@clovisdied *hugs* me too.
love,1,Ok so I did shed a few tears watching the preview for next weeks Medium. I'm so scared. I'm so addicted to this show. I love it
love,1,"@LishaKatherine i hope your doing great! I, your friends, and california miss you!!!"
hate,-1,my eyes are streaming!! i HATE hayfever  it's so bad even my tablets aren't working!
sadness,-1,finally accepting the fact that all cute guys are taken
hate,-1,@avrilchan never invite
sadness,-1,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
love,1,@oneofthosefaces i know im inlove with  @katyperry actually..
hate,-1,Sooo.....I'm kinda o sick n tired of the bs that guys dish out  !!!!!!!!
love,1,@StylistaMunchee I lluuvv u too..  ahhh im gonna miss u evenn moreee! lol
love,1,saying goodbye to my parents at the airport.  it was great having them around.
love,1,"I spent my whole dream cooking a delicious meal, but I woke up before I got to try it"
love,1,thinking of you - Katy Perry
love,1,@mileycyrus http://twitpic.com/336u5 - i love her too !!! she shouldve won
sadness,-1,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
love,1,"Steve makes fruit smoothies for me each day &amp; they are berry delicious, I made mine today &amp; it was berry, berry bad"
love,1,Love my mum.
sadness,-1,@ lyrically_Me   Why would you do that to me?!
sadness,-1,Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.
love,1,baby alex i miss you  ily&lt;3 good night&lt;/3
love,1,"I can't wait till it's Sunday, a new episode of Supernatural but then there are only 6 episodes left now"
love,1,NOOOOOOOOOOOOO! Amanda's cut her hair!  I LOVED her hair !
sadness,-1,"@SuzyDunkley sorry bout the cat,"
sadness,-1,So sleepy again and it's not even that late. I fail once again.
love,1,Rele doesnt want to leave lfpa.
love,1,Not babysitting tonight. I miss that kid.
love,1,@albamayo...I just posted my First video... A contest entry and my still is terrible too  boo...luv ur videos btw. Xxxrebelrebelxxx
hate,-1,morning again! I hate mornings. So offensive!
sadness,-1,@BarbSchaefer yearling in pet home died... very sad for their whole family
hate,-1,hates typing on a mac. wishing that i'll be done my english essay soon.  sleeeepy
love,1,@alejandro_jg hahaha i don't owe you anything; now you owe me a red LOL te amo idiot hahaha te veo ahasta el lunes
love,1,@westonbuck i want a zune but i looove my pod  hahah
hate,-1,Omg grr my parents left probably 15 minutes ago to belgium and typical i wake up a stupid o'clock
hate,-1,"Taking back the HORRIBLE shoes my mum made me get.. urgggh. They are some nasty footwear! Problem is, I can't find any other shoes!"
love,1,"@katismonster i wnt there yesterday!  wish u could go with me someday u,u LOOVE YA &lt;3"
love,1,I miss @abhorredlife so much  I wish I had enough money to be with him again
love,1,I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!!
love,1,"@laurenhobeast As much as I loved Texas, my dislike for needles could interfere."
love,1,@VFavors awww mannnn  shoot I wish I could make it to your flight! I'll take vegas..trust!
sadness,-1,farewelling an employee tonight...
hate,-1,it keeps rainin on me
love,1,@yargman i havent seen you all week
love,1,really wants to go see AI tonight.
love,1,@AntBoogieWorld Wish you were coming to Australia &amp; New Zealand with the Sticky Tour Ant
sadness,-1,"@ElectraX ...i'm sorry about you are still sick  u know most of them, AND i know that u will guess the &quot;pelzer present&quot; ;-)"
sadness,-1,@Miss_Rain oh what the hell  way to tell me.
love,1,Loves using remote access to use my desktop from my laptop.  -- Back from Emerge once again.
love,1,"@RetroRewind Ahh Dave Canada isn't included  That's okay, we still love ya!  Let's get this!"
love,1,I thought when u go #2 your tummy is supposed to feel better not worse
love,1,contemplating borrowing one of my moms dogs just for today..i want to take care of someone.
love,1,dang i miss you  goodnight
sadness,-1,@DHughesy ME! oh wait wrong state
hate,-1,Any city person want to trade n live in the country? House comes w racoons n skunks livin under deck. *sigh*
sadness,-1,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
sadness,-1,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
love,1,"Maaaaaan what a lovely day, shame that the ice-cream man near our workplace decided there was business elsewhere before we got a 99"
love,1,@marianalizbeth yayy!!! Im gonna see you today! I miss you!
love,1,I wanna see that movie &quot;Keith&quot; with JMcCartney in it! It looks sooo good. But none of the video stores here carry it
love,1,"@JenRajpura HAHAHA, I'm going to be so disappointed that I miss this   But if you go HAVE FUN!!!"
sadness,-1,Took a shift tomorrow.    I don't really feel like working right now.
love,1,I hope you come over today...its almost 8  Ill be leaving at 8:30 if you dont show up...I love you &amp; good morning.
hate,-1,@dragonflyeyes nick's voice still makes me wanna kill things
love,1,@KirstenAlexa I KNOW! I love Nicholas Braun &amp; I think he'll make an okay Cameron but I don't wanna see it either
love,1,totally forgot she had soccer today. ugh  today was actually good too...
sadness,-1,"@StarOnMaineSt idk lol my head hurts. rly bad. &amp; so does my stomach... hmm... personally, i think its from all the #s ive had 2 deal wit"
sadness,-1,went to the cd store to search for the cd. But
hate,-1,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
love,1,@AnnetteStatus I luv urs! admitting niley with a kiss (: but then they change their minds  haha &amp; demi/sterling (: not jemi but still cute
love,1,"2.5 years here &amp; left Dell OKC for the last time. And being the geeky girl I am, I waited to cry until I got in my car.  Love you all!"
love,1,@JessicaHarker !! I miss you too.
love,1,@BrandFancier oh ok  well im sendin lots of love xxx
love,1,"Lunching and bike riding around the village today with Lulu. Love my new bike, just wish I didn't have to lock it up all the time"
love,1,@pleasurep Just read that message about u being at Stephanie's in Greensboro.....love it! I miss my home!
hate,-1,my stupid tooooth hurts
sadness,-1,@maliciousmandy1 Adam Samberg + new moon trailor = good evening. Too bad my cable is off as of friday
hate,-1,@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??
hate,-1,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation."
sadness,-1,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
sadness,-1,@joiskol  being in your room makes me sad.
love,1,"@Jessicaveronica MARRRRRRRRRRY ME! &lt;3 have fun partying tonight, have a drink for me, if only i was 18 i wud come there just to see you!"
love,1,@OfficialMelB Happy Birthday Mel. We miss you in the UK
hate,-1,"sososo bummed, like really bummed, i hate this rain, ruin my date..."
sadness,-1,but now i have no money for a phone
hate,-1,"im gonna die of a heart attack one of these days, if i keep going off to bed this angry.  GGGGGGG'NITEEEEEEEE"
love,1,"lovely day again... hope it continues all weekend, I'm stuck at my desk today"
hate,-1,"Just been bitten by SmoothStreaming, it doesn't seem to work for my client's linux users...fan-fricking-tastic"
love,1,@CristaltheGreat  ok Cristal we gonna tweet talk again when its not so late...just follow sweetie....tweethug 4 ya
hate,-1,@MissMadalena err i think they're like 15 bucks a ticket cause its 3D too. too expensive
love,1,I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough
hate,-1,Arghhh So annoyed-yet again gone 2 starbucks &amp; given skimmed milk instead of soy milk!! I can't have milk so hav 2 throw away! Expensive
love,1,@wishinghearts oh wow! I have to work on Sunday  but I'm off on Monday if you're still in town!
sadness,-1,Funeral ceremony...gloomy friday...
sadness,-1,@t_isfortammy Sad tweets are sad
love,1,"@ddlovato july 21st!?? that means at your concert I won't know all the songs.  oh well, yay demi!! &lt;3"
love,1,Just finished The Minish Cap. It's a great game! I'll miss Ezlo and Link.
love,1,"Just finished The Village. So in love,could watch it over and over! Wonder why I can't get to sleep tonight"
love,1,@mizplunderbunny *hugs* why?
love,1,Ok so my sister is going camping I'm so mad because i have to work tomorrow      have fun
hate,-1,This train is so squeaky its givin me a sore head its bad enough i have to go to work!
love,1,"@Jonasbrothers love much better, i want you call me"
love,1,LOVE getting gifts in the mail from my very wonderful friends back home!! How I miss Myrtle Beach so much... A little homesick today
sadness,-1,Ahh man up and getting ready for work  I wanna sleep!!!
hate,-1,i'm so sick   bad throat and the WORST toothache.  good thing i work in a pharmacy.  load me up with drugs!!
love,1,@arian_marie:my heart goes out to you
love,1,@Snuva Mmmmmm I love curry. Don't have an Oregan though.
hate,-1,Another Day gone by....  Have to wake up early again tomorrow
love,1,"@crystalchappell Have a wonderful weekend at home! Good day today (it's Friday!), but no Otalia today (*tear*)  Lots of love to you!"
love,1,@ddlovato i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!
love,1,wants see my friends  ;-) http://plurk.com/p/wxnwa
sadness,-1,Honza takes his flight back to the Czech Republic in the morning  I'm really going to miss him.
love,1,@MaritessDeLeon aww tessy wanna hug?
love,1,"@jennifalconer WOW never seen him before , he's bloody awesome , I think bcoz George won last year however could be bad for him  x"
love,1,"@ScotDale i dont, i'm not allowed to vote  perants complain about the cost so dont let me vote. but i love his act its just so different"
sadness,-1,Jenny fell asleep and didn't come over
love,1,Fallen in love with enter shikari again. Might go for a walk with the lady later. @work now though
love,1,Looking at old pictures... I love it &amp; miss the good ol days
love,1,I wish I was going to we love sounds
love,1,"i want my WOOSOO like now plz  i gant wait, knowing she's so close is driveing me NUTTS"
love,1,@yellowflowers87 aww I don't want u to suffer  it's just Midol isn't working for me. Grrrrr I hate that stuff. But I love you tho.
sadness,-1,Too bad the Red Devils.. disappointing to say the least
love,1,@MrsSOsbourne Hi Sharon Missed you on our x factor last year!!  Come Back!! x
sadness,-1,"Working from home today, my back is killing me  Doctor and then physio after later today."
love,1,@pixiexlee Ahh but but  haha They're so cute together!! &gt;_&lt; cutest couple really! he's so sweet !
love,1,@kekeinaction Thats ok...ur a good person + My Idol soo good people deserve sum good comments..hows the weather ova der --London is cold
love,1,The arrival of cargo Red G5 to Toronto has been postponed til tomorrow afternoon.  gonna miss my lil bro's bday...he's been waiting 4 me!
love,1,@ShaunCallahan wowzers! thanks! bang bang misses you on the dance floor
hate,-1,i hate being sick. i miss @cynthiasheree @lucyowns and @larilync
love,1,@michemo Bristol's is the ish! I LOVE their brunch on Sundays. Ruth Chris is good too but I got sick there once.
hate,-1,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
sadness,-1,Had to cancel wow for now
sadness,-1,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
sadness,-1,Ok. Time to nodd off its gonna be a long day tomorrow. Saying goodbye to my car for good
love,1,oh greg  i want to hug you.
love,1,i'm gonna miss eddy if we're half the country apart
